id_profile,age_range,gender,region
1,1,1,AC
2,1,1,AL
3,1,1,AP
4,1,1,AM
5,1,1,BA
6,1,1,CE
7,1,1,DF
8,1,1,ES
9,1,1,GO
10,1,1,MA
11,1,1,MT
12,1,1,MS
13,1,1,MG
14,1,1,PA
15,1,1,PB
16,1,1,PR
17,1,1,PE
18,1,1,PI
19,1,1,RJ
20,1,1,RN
21,1,1,RS
22,1,1,RO
23,1,1,RR
24,1,1,SC
25,1,1,SP
26,1,1,SE
27,1,1,TO
28,1,2,AC
29,1,2,AL
30,1,2,AP
31,1,2,AM
32,1,2,BA
33,1,2,CE
34,1,2,DF
35,1,2,ES
36,1,2,GO
37,1,2,MA
38,1,2,MT
39,1,2,MS
40,1,2,MG
41,1,2,PA
42,1,2,PB
43,1,2,PR
44,1,2,PE
45,1,2,PI
46,1,2,RJ
47,1,2,RN
48,1,2,RS
49,1,2,RO
50,1,2,RR
51,1,2,SC
52,1,2,SP
53,1,2,SE
54,1,2,TO
55,2,1,AC
56,2,1,AL
57,2,1,AP
58,2,1,AM
59,2,1,BA
60,2,1,CE
61,2,1,DF
62,2,1,ES
63,2,1,GO
64,2,1,MA
65,2,1,MT
66,2,1,MS
67,2,1,MG
68,2,1,PA
69,2,1,PB
70,2,1,PR
71,2,1,PE
72,2,1,PI
73,2,1,RJ
74,2,1,RN
75,2,1,RS
76,2,1,RO
77,2,1,RR
78,2,1,SC
79,2,1,SP
80,2,1,SE
81,2,1,TO
82,2,2,AC
83,2,2,AL
84,2,2,AP
85,2,2,AM
86,2,2,BA
87,2,2,CE
88,2,2,DF
89,2,2,ES
90,2,2,GO
91,2,2,MA
92,2,2,MT
93,2,2,MS
94,2,2,MG
95,2,2,PA
96,2,2,PB
97,2,2,PR
98,2,2,PE
99,2,2,PI
100,2,2,RJ
101,2,2,RN
102,2,2,RS
103,2,2,RO
104,2,2,RR
105,2,2,SC
106,2,2,SP
107,2,2,SE
108,2,2,TO
109,3,1,AC
110,3,1,AL
111,3,1,AP
112,3,1,AM
113,3,1,BA
114,3,1,CE
115,3,1,DF
116,3,1,ES
117,3,1,GO
118,3,1,MA
119,3,1,MT
120,3,1,MS
121,3,1,MG
122,3,1,PA
123,3,1,PB
124,3,1,PR
125,3,1,PE
126,3,1,PI
127,3,1,RJ
128,3,1,RN
129,3,1,RS
130,3,1,RO
131,3,1,RR
132,3,1,SC
133,3,1,SP
134,3,1,SE
135,3,1,TO
136,3,2,AC
137,3,2,AL
138,3,2,AP
139,3,2,AM
140,3,2,BA
141,3,2,CE
142,3,2,DF
143,3,2,ES
144,3,2,GO
145,3,2,MA
146,3,2,MT
147,3,2,MS
148,3,2,MG
149,3,2,PA
150,3,2,PB
151,3,2,PR
152,3,2,PE
153,3,2,PI
154,3,2,RJ
155,3,2,RN
156,3,2,RS
157,3,2,RO
158,3,2,RR
159,3,2,SC
160,3,2,SP
161,3,2,SE
162,3,2,TO
163,4,1,AC
164,4,1,AL
165,4,1,AP
166,4,1,AM
167,4,1,BA
168,4,1,CE
169,4,1,DF
170,4,1,ES
171,4,1,GO
172,4,1,MA
173,4,1,MT
174,4,1,MS
175,4,1,MG
176,4,1,PA
177,4,1,PB
178,4,1,PR
179,4,1,PE
180,4,1,PI
181,4,1,RJ
182,4,1,RN
183,4,1,RS
184,4,1,RO
185,4,1,RR
186,4,1,SC
187,4,1,SP
188,4,1,SE
189,4,1,TO
190,4,2,AC
191,4,2,AL
192,4,2,AP
193,4,2,AM
194,4,2,BA
195,4,2,CE
196,4,2,DF
197,4,2,ES
198,4,2,GO
199,4,2,MA
200,4,2,MT
201,4,2,MS
202,4,2,MG
203,4,2,PA
204,4,2,PB
205,4,2,PR
206,4,2,PE
207,4,2,PI
208,4,2,RJ
209,4,2,RN
210,4,2,RS
211,4,2,RO
212,4,2,RR
213,4,2,SC
214,4,2,SP
215,4,2,SE
216,4,2,TO
217,5,1,AC
218,5,1,AL
219,5,1,AP
220,5,1,AM
221,5,1,BA
222,5,1,CE
223,5,1,DF
224,5,1,ES
225,5,1,GO
226,5,1,MA
227,5,1,MT
228,5,1,MS
229,5,1,MG
230,5,1,PA
231,5,1,PB
232,5,1,PR
233,5,1,PE
234,5,1,PI
235,5,1,RJ
236,5,1,RN
237,5,1,RS
238,5,1,RO
239,5,1,RR
240,5,1,SC
241,5,1,SP
242,5,1,SE
243,5,1,TO
244,5,2,AC
245,5,2,AL
246,5,2,AP
247,5,2,AM
248,5,2,BA
249,5,2,CE
250,5,2,DF
251,5,2,ES
252,5,2,GO
253,5,2,MA
254,5,2,MT
255,5,2,MS
256,5,2,MG
257,5,2,PA
258,5,2,PB
259,5,2,PR
260,5,2,PE
261,5,2,PI
262,5,2,RJ
263,5,2,RN
264,5,2,RS
265,5,2,RO
266,5,2,RR
267,5,2,SC
268,5,2,SP
269,5,2,SE
270,5,2,TO
271,6,1,AC
272,6,1,AL
273,6,1,AP
274,6,1,AM
275,6,1,BA
276,6,1,CE
277,6,1,DF
278,6,1,ES
279,6,1,GO
280,6,1,MA
281,6,1,MT
282,6,1,MS
283,6,1,MG
284,6,1,PA
285,6,1,PB
286,6,1,PR
287,6,1,PE
288,6,1,PI
289,6,1,RJ
290,6,1,RN
291,6,1,RS
292,6,1,RO
293,6,1,RR
294,6,1,SC
295,6,1,SP
296,6,1,SE
297,6,1,TO
298,6,2,AC
299,6,2,AL
300,6,2,AP
301,6,2,AM
302,6,2,BA
303,6,2,CE
304,6,2,DF
305,6,2,ES
306,6,2,GO
307,6,2,MA
308,6,2,MT
309,6,2,MS
310,6,2,MG
311,6,2,PA
312,6,2,PB
313,6,2,PR
314,6,2,PE
315,6,2,PI
316,6,2,RJ
317,6,2,RN
318,6,2,RS
319,6,2,RO
320,6,2,RR
321,6,2,SC
322,6,2,SP
323,6,2,SE
324,6,2,TO
325,7,1,AC
326,7,1,AL
327,7,1,AP
328,7,1,AM
329,7,1,BA
330,7,1,CE
331,7,1,DF
